datetime,RADIACAO_GLOBAL,RADIACAO_GLOBAL_IMPUTADA,dayofyear,hour
2019-01-01 00:00:00,0.0,0.0,1,0
2019-01-01 01:00:00,0.0,0.0,1,1
2019-01-01 02:00:00,0.0,0.0,1,2
2019-01-01 03:00:00,0.0,0.0,1,3
2019-01-01 04:00:00,0.0,0.0,1,4
2019-01-01 05:00:00,0.0,0.0,1,5
2019-01-01 06:00:00,0.0,0.0,1,6
2019-01-01 07:00:00,0.0,0.0,1,7
2019-01-01 08:00:00,0.0,0.0,1,8
2019-01-01 09:00:00,0.0,0.0,1,9
2019-01-01 10:00:00,0.0,0.0,1,10
2019-01-01 11:00:00,0.0,0.0,1,11
2019-01-01 12:00:00,0.0,0.0,1,12
2019-01-01 13:00:00,2434.0,2434.0,1,13
2019-01-01 14:00:00,2723.0,2723.0,1,14
2019-01-01 15:00:00,0.0,0.0,1,15
2019-01-01 16:00:00,0.0,0.0,1,16
2019-01-01 17:00:00,0.0,0.0,1,17
2019-01-01 18:00:00,0.0,0.0,1,18
2019-01-01 19:00:00,0.0,0.0,1,19
2019-01-01 20:00:00,0.0,0.0,1,20
2019-01-01 21:00:00,0.0,0.0,1,21
2019-01-01 22:00:00,0.0,0.0,1,22
2019-01-01 23:00:00,0.0,0.0,1,23
2019-01-02 00:00:00,0.0,0.0,2,0
2019-01-02 01:00:00,0.0,0.0,2,1
2019-01-02 02:00:00,0.0,0.0,2,2
2019-01-02 03:00:00,0.0,0.0,2,3
2019-01-02 04:00:00,0.0,0.0,2,4
2019-01-02 05:00:00,0.0,0.0,2,5
2019-01-02 06:00:00,0.0,0.0,2,6
2019-01-02 07:00:00,0.0,0.0,2,7
2019-01-02 08:00:00,0.0,0.0,2,8
2019-01-02 09:00:00,0.0,3.0,2,9
2019-01-02 10:00:00,0.0,0.0,2,10
2019-01-02 11:00:00,0.0,0.0,2,11
2019-01-02 12:00:00,0.0,0.0,2,12
2019-01-02 13:00:00,0.0,0.0,2,13
2019-01-02 14:00:00,0.0,0.0,2,14
2019-01-02 15:00:00,0.0,0.0,2,15
2019-01-02 16:00:00,0.0,0.0,2,16
2019-01-02 17:00:00,0.0,1904.5,2,17
2019-01-02 18:00:00,0.0,0.0,2,18
2019-01-02 19:00:00,2510.0,2510.0,2,19
2019-01-02 20:00:00,0.0,21.0,2,20
2019-01-02 21:00:00,0.0,0.0,2,21
2019-01-02 22:00:00,0.0,212.0,2,22
2019-01-02 23:00:00,0.0,0.0,2,23
2019-01-03 00:00:00,0.0,0.0,3,0
2019-01-03 01:00:00,0.0,0.0,3,1
2019-01-03 02:00:00,0.0,0.0,3,2
2019-01-03 03:00:00,0.0,0.0,3,3
2019-01-03 04:00:00,0.0,0.0,3,4
2019-01-03 05:00:00,0.0,0.0,3,5
2019-01-03 06:00:00,0.0,0.0,3,6
2019-01-03 07:00:00,0.0,0.0,3,7
2019-01-03 08:00:00,0.0,0.0,3,8
2019-01-03 09:00:00,0.0,0.0,3,9
2019-01-03 10:00:00,0.0,142.0,3,10
2019-01-03 11:00:00,0.0,1496.0,3,11
2019-01-03 12:00:00,2008.0,2008.0,3,12
2019-01-03 13:00:00,0.0,0.0,3,13
2019-01-03 14:00:00,0.0,1980.0,3,14
2019-01-03 15:00:00,0.0,1997.0,3,15
2019-01-03 16:00:00,0.0,0.0,3,16
2019-01-03 17:00:00,0.0,0.0,3,17
2019-01-03 18:00:00,0.0,0.0,3,18
2019-01-03 19:00:00,0.0,0.0,3,19
2019-01-03 20:00:00,0.0,0.0,3,20
2019-01-03 21:00:00,0.0,0.0,3,21
2019-01-03 22:00:00,0.0,0.0,3,22
2019-01-03 23:00:00,0.0,0.0,3,23
2019-01-04 00:00:00,0.0,0.0,4,0
2019-01-04 01:00:00,0.0,0.0,4,1
2019-01-04 02:00:00,0.0,0.0,4,2
2019-01-04 03:00:00,0.0,0.0,4,3
